score,task,channel,ch_idx,n,r,p,p_fdr,sig_raw,sig_fdr
STAIT,GNG,S7_D7,19,16,0.28044471375436353,0.29276112070719496,0.6513336432374336,False,False
STAIT,GNG,S8_D5,20,16,-0.3350576316960027,0.20459384049482926,0.6513336432374336,False,False
STAIT,GNG,S8_D7,21,16,-0.10479776145557794,0.6993088158231461,0.7695224230445028,False,False
STAIT,GNG,S8_D8,22,16,-0.5461291794163922,0.02862524354407204,0.5729391034193148,True,False
STAIT,1backWM,S1_D1,0,16,-0.3468658301698706,0.18809657613905661,0.9399896178383169,False,False
STAIT,1backWM,S1_D3,1,16,-0.20664347329268892,0.44256506840645227,0.9399896178383169,False,False
STAIT,1backWM,S2_D2,2,16,-0.11955800954791287,0.6591936574177696,0.9676403762015054,False,False
STAIT,1backWM,S2_D1,3,16,-0.04575676908623825,0.866373041575787,0.9676403762015054,False,False
STAIT,1backWM,S2_D5,4,16,0.11365391031097889,0.6751424880884956,0.9676403762015054,False,False
STAIT,1backWM,S3_D1,5,16,-0.18597912596342,0.49042936582868707,0.9399896178383169,False,False
STAIT,1backWM,S3_D3,6,16,-0.2568283168066276,0.3369449028876156,0.9399896178383169,False,False
STAIT,1backWM,S3_D4,7,16,-0.001476024809233492,0.9956714031362746,0.9956714031362746,False,False
STAIT,1backWM,S3_D6,8,16,-0.23025987024042477,0.3909245669937658,0.9399896178383169,False,False
STAIT,1backWM,S4_D4,9,16,0.07675329008014159,0.7775406959526026,0.9676403762015054,False,False
STAIT,1backWM,S4_D5,10,16,0.0915135381724765,0.736064926390394,0.9676403762015054,False,False
STAIT,1backWM,S4_D7,11,16,-0.060517017178573176,0.8238195629087044,0.9676403762015054,False,False
STAIT,1backWM,S5_D2,12,16,-0.4575676908623825,0.07473118740251931,0.9399896178383169,False,False
STAIT,1backWM,S5_D5,13,16,-0.19926334924652142,0.45938046418544454,0.9399896178383169,False,False
STAIT,1backWM,S5_D8,14,16,-0.19335925000958745,0.47305764882598406,0.9399896178383169,False,False
STAIT,1backWM,S6_D3,15,16,-0.22878384543119126,0.3940530101618664,0.9399896178383169,False,False
STAIT,1backWM,S6_D6,16,16,-0.29668098665593196,0.26450003349755763,0.9399896178383169,False,False
STAIT,1backWM,S7_D4,17,16,0.0752772652709081,0.7817213858312266,0.9676403762015054,False,False
STAIT,1backWM,S7_D6,18,16,-0.039852669849304294,0.8834977347926788,0.9676403762015054,False,False
STAIT,1backWM,S7_D7,19,16,-0.017712297710801905,0.9480891879005509,0.9911841509869395,False,False
STAIT,1backWM,S8_D5,20,16,-0.04280471946777127,0.8749288845840077,0.9676403762015054,False,False
STAIT,1backWM,S8_D7,21,16,-0.23321191985889175,0.3847080517255646,0.9399896178383169,False,False
STAIT,1backWM,S8_D8,22,16,-0.41919104582231176,0.10604719733064165,0.9399896178383169,False,False
STAIT,VF,S1_D1,0,16,-0.06346906679704016,0.8153600844352132,0.95825544502058,False,False
STAIT,VF,S1_D3,1,16,0.04280471946777127,0.8749288845840077,0.95825544502058,False,False
STAIT,VF,S2_D2,2,16,0.06494509160627365,0.8111374452691195,0.95825544502058,False,False
STAIT,VF,S2_D1,3,16,0.15498260496951669,0.56656047349914,0.95825544502058,False,False
STAIT,VF,S2_D5,4,16,0.02066434732926889,0.9394511014950653,0.9783592788175571,False,False
STAIT,VF,S3_D1,5,16,-0.00738012404616746,0.9783592788175571,0.9783592788175571,False,False
STAIT,VF,S3_D3,6,16,-0.22878384543119126,0.3940530101618664,0.95825544502058,False,False
STAIT,VF,S3_D4,7,16,0.22583179581272428,0.40035007594032973,0.95825544502058,False,False
STAIT,VF,S3_D6,8,16,0.22583179581272428,0.40035007594032973,0.95825544502058,False,False
STAIT,VF,S4_D4,9,16,0.23911601909582575,0.37243752879221276,0.95825544502058,False,False
STAIT,VF,S4_D5,10,16,-0.05018484351393873,0.8535655870638025,0.95825544502058,False,False
STAIT,VF,S4_D7,11,16,0.06937316603397413,0.7984992022420707,0.95825544502058,False,False
STAIT,VF,S5_D2,12,16,-0.09298956298171,0.7319526934223213,0.95825544502058,False,False
STAIT,VF,S5_D5,13,16,-0.06937316603397413,0.7984992022420707,0.95825544502058,False,False
STAIT,VF,S5_D8,14,16,-0.2036914236742219,0.44925337460771836,0.95825544502058,False,False
STAIT,VF,S6_D3,15,16,-0.10922583588327842,0.6871901641687317,0.95825544502058,False,False
